Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/21/23,Saturday,7.36,Mcdonalds,Food,Credit
1/22/23,Sunday,41.26,Necessities,Housing,Credit
1/24/23,Tuesday,90.05,Oil Change,Travel,Credit
1/24/23,Tuesday,4.55,Mcdonalds,Food,Credit
1/26/23,Thursday,21.42,Gas,Travel,Credit
1/26/23,Thursday,60,Hot pot,Food,Credit
1/27/23,Friday,25,Therapy,Bills,Credit
1/28/23,Saturday,27,Night club,Entertainment and Recreation,Cash
1/29/23,Sunday,13.95,Panda,Food,Credit
1/29/23,Sunday,38.88,Gas,Travel,Credit